,Method,Clustering,Gini_Marker_Genes,Gini_Housekeeping_Genes,Difference,KS_statistics,p-value
0,ChromVAR_motifs,louvain,0.32979437611199386,0.20291677131279215,0.1268776047992017,0.5357142857142857,0.0011012608985997434
1,ChromVAR_motifs,kmeans,0.3437447809765452,0.23739934019535372,0.10634544078119149,0.4642857142857143,0.0071294147031368835
2,ChromVAR_motifs,hc,0.3811677061657274,0.29004110655133414,0.09112659961439329,0.5,0.002897057550796698
3,ChromVAR_kmers,louvain,0.3091640538874091,0.1788495073235249,0.1303145465638842,0.5357142857142857,0.0011012608985997434
4,ChromVAR_kmers,kmeans,0.34008798380443167,0.2631696540437591,0.07691832976067259,0.488095238095238,0.003940411838529281
5,ChromVAR_kmers,hc,0.31920226807712815,0.24108921211666565,0.0781130559604625,0.5238095238095237,0.0015315508627272852
6,cisTopic,louvain,0.36911897406132393,0.2546875831379295,0.11443139092339444,0.5714285714285714,0.00039160946836733207
7,cisTopic,kmeans,0.4173191468901852,0.31605995127248926,0.10125919561769592,0.5,0.002897057550796698
8,cisTopic,hc,0.4685341299564925,0.36249268848506216,0.10604144147143035,0.5,0.002897057550796698
9,SnapATAC,louvain,0.3324779097800604,0.19579762663205263,0.1366802831480078,0.45238095238095233,0.009483783581749885
10,SnapATAC,kmeans,0.3615056628187516,0.21786828303900205,0.14363737977974958,0.5714285714285714,0.00039160946836733207
11,SnapATAC,hc,0.3714384383322344,0.23142922504480185,0.14000921328743254,0.5238095238095237,0.0015315508627272852
12,BROCKMAN,louvain,0.3469987554678887,0.23412461324349595,0.11287414222439277,0.4761904761904762,0.0053199457227097
13,BROCKMAN,kmeans,0.3277885969547896,0.2628198769727791,0.06496871998201054,0.3928571428571429,0.035345542528700175
14,BROCKMAN,hc,0.32406135855056517,0.25587800726962895,0.06818335128093622,0.4642857142857143,0.0071294147031368835
15,SCRAT_motifs,louvain,0.3478782074329123,0.2936452632084573,0.054232944224455015,0.4761904761904762,0.0053199457227097
16,SCRAT_motifs,kmeans,0.287355236060857,0.23450738407421634,0.05284785198664066,0.3928571428571429,0.035345542528700175
17,SCRAT_motifs,hc,0.31522946694955634,0.26396734223011686,0.05126212471943947,0.41666666666666663,0.02135261571272192
18,Cusanovich2018,louvain,0.3888967641042166,0.28095716146315347,0.10793960264106311,0.4642857142857143,0.0071294147031368835
19,Cusanovich2018,kmeans,0.2540270001768429,0.17730503657548796,0.07672196360135491,0.4642857142857143,0.0071294147031368835
20,Cusanovich2018,hc,0.2254682391576123,0.14112488226109376,0.08434335689651853,0.4642857142857143,0.0071294147031368835
21,Control,louvain,0.4439710552501131,0.35886390642005106,0.08510714883006204,0.4642857142857143,0.0071294147031368835
22,Control,kmeans,0.45648011118437415,0.4538630230981685,0.0026170880862056434,0.27380952380952384,0.2808123271126563
23,Control,hc,0.47176473250344725,0.46742320187491826,0.004341530628528989,0.23809523809523808,0.4488855364503475
24,GeneScoring,louvain,0.46015408854252293,0.3894019238816883,0.07075216466083462,0.4285714285714286,0.01641271011297831
25,GeneScoring,kmeans,0.45015974708795337,0.47189389378241514,-0.021734146694461776,0.2976190476190476,0.197108581166034
26,GeneScoring,hc,0.5033484345813626,0.5014730951268611,0.0018753394545014679,0.2857142857142857,0.23619262970312224
27,Scasat,louvain,0.47244479519341437,0.3745990183544994,0.09784577683891499,0.5,0.002897057550796698
28,Scasat,kmeans,0.4971293584760233,0.42151243330383137,0.07561692517219193,0.4285714285714286,0.01641271011297831
29,Scasat,hc,0.4776546470342088,0.39909763477065235,0.07855701226355644,0.4642857142857143,0.0071294147031368835
30,scABC,louvain,0.461698192419978,0.44146168501722716,0.020236507402750847,0.2976190476190476,0.197108581166034
31,scABC,kmeans,0.45867339383530253,0.45473675872576136,0.003936635109541176,0.23809523809523814,0.44888553645034723
32,scABC,hc,0.4257206354148026,0.396330018390502,0.02939061702430057,0.32142857142857145,0.13415549399464227
33,Cicero,louvain,0.3549933100114813,0.24956220986465727,0.10543110014682405,0.5476190476190477,0.0007860136914473114
34,Cicero,kmeans,0.0,0.0,0.0,0.0,1.0
35,Cicero,hc,0.26415050703168286,0.20376720915319838,0.06038329787848448,0.3571428571428571,0.0712039075524818
36,ChromVAR_kmers_pca,louvain,0.35222444861911467,0.2321388734931971,0.12008557512591758,0.5119047619047619,0.002114237275398352
37,ChromVAR_kmers_pca,kmeans,0.2874732924137352,0.22768124348000424,0.05979204893373097,0.488095238095238,0.003940411838529281
38,ChromVAR_kmers_pca,hc,0.3220118523079769,0.24682107403724143,0.07519077827073548,0.46428571428571425,0.007129414703136896
39,ChromVAR_motifs_pca,louvain,0.33369651462483135,0.2051988058085498,0.12849770881628156,0.5357142857142857,0.0011012608985997434
40,ChromVAR_motifs_pca,kmeans,0.3964331411308981,0.3011024866330835,0.09533065449781464,0.4285714285714286,0.01641271011297831
41,ChromVAR_motifs_pca,hc,0.39748407267317437,0.30172951255957664,0.09575456011359773,0.44047619047619047,0.012522483127374367
42,GeneScoring_pca,louvain,0.5176969038810719,0.5032015988491187,0.014495305031953176,0.2619047619047619,0.331170599251271
43,GeneScoring_pca,kmeans,0.4882935511590059,0.49992896499297973,-0.011635413833973818,0.3333333333333333,0.1094330857250146
44,GeneScoring_pca,hc,0.46933276315186107,0.4735662038200326,-0.004233440668171551,0.2857142857142857,0.23619262970312224
45,Cicero_pca,louvain,0.47022677982010613,0.35602717001869627,0.11419960980140986,0.4880952380952381,0.003940411838529278
46,Cicero_pca,kmeans,0.2622214309101591,0.19764137436122725,0.06458005654893184,0.3571428571428571,0.0712039075524818
47,Cicero_pca,hc,0.25049637585820544,0.17205052442523044,0.078445851432975,0.4642857142857143,0.0071294147031368835
48,SCRAT_pca,louvain,0.39207095266089675,0.3202360069741431,0.07183494568675364,0.4642857142857143,0.0071294147031368835
49,SCRAT_pca,kmeans,0.2875305762421036,0.23416363162519072,0.05336694461691288,0.3928571428571429,0.035345542528700175
50,SCRAT_pca,hc,0.2781230662779598,0.2328574891024217,0.045265577175538085,0.40476190476190477,0.027574182429466066
